Time Period,SB Left,SB Thru,SB Right,SB U-Turn,SB RTOR,WB Left,WB Thru,WB Right,WB U-Turn,WB RTOR,NB Left,NB Thru,NB Right,NB U-Turn,NB RTOR,EB Left,EB Thru,EB Right,EB U-Turn,EB RTOR,,,,,,,,,,,,,,,,,,,,,Total,Hourly Totals
5:05 PM,0,0,0,0,3,0,1,0,0,0,0,0,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
5:10 PM,0,0,0,0,5,0,1,0,0,0,0,0,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
5:15 PM,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
5:20 PM,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
5:25 PM,0,0,0,0,6,2,0,0,0,0,0,0,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
5:30 PM,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
5:35 PM,0,0,0,0,2,0,0,1,0,0,0,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
5:40 PM,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
5:45 PM,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5:50 PM,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5:55 PM,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDESTRIAN VOLUMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,North,East,South,West,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00 PM,11,8,2,7,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:05 PM,7,15,3,9,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:10 PM,9,13,9,10,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:15 PM,12,10,7,6,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:20 PM,8,8,8,8,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:25 PM,11,8,5,11,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:30 PM,9,10,4,6,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:35 PM,9,12,3,10,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:40 PM,7,8,5,7,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:45 PM,19,6,9,4,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:50 PM,12,20,5,8,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:55 PM,3,7,7,9,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00 PM,10,8,3,4,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:05 PM,11,11,5,7,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:10 PM,14,13,13,10,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:15 PM,13,9,8,9,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:20 PM,5,12,11,8,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:25 PM,11,18,6,10,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:30 PM,12,12,6,7,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35 PM,8,6,7,4,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:40 PM,7,4,9,4,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:45 PM,5,7,6,3,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:50 PM,9,9,9,8,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:55 PM,4,5,2,4,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICYCLE VOLUMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,SB Left,SB Thru,SB Right,WB Left,WB Thru,WB Right,NB Left,NB Thru,NB Right,EB Left,EB Thru,EB Right,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,
4:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
4:05 PM,0,0,0,0,1,1,0,1,0,0,0,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
4:10 PM,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
4:15 PM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
4:20 PM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
4:25 PM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
4:30 PM,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
4:35 PM,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
4:40 PM,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
4:45 PM,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
