id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,N-Bike,E-Bike,S-Bike,W-Bike
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and Hawthorne St,14,2014-09,17:00-18:00,0,630,39,154,0,93,27,653,0,0,0,0,32,1,36,0,,,,
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 30th St,15,2014-09,08:00-09:00,11,534,78,68,1,41,114,424,14,5,7,23,53,10,51,14,,,,
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 30th St,15,2014-09,17:00-18:00,13,672,38,59,1,105,37,604,16,26,1,26,47,47,53,9,,,,
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 29th St,16,2014-09,08:00-09:00,11,540,29,40,21,36,132,507,13,12,35,9,0,1,14,13,0,17,0,41
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 29th St,16,2014-09,17:00-18:00,16,748,39,69,21,138,60,582,13,10,11,6,26,6,73,14,2,50,2,43
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 27th St,17,2014-09,08:00-09:00,91,440,61,109,186,38,29,313,65,104,365,230,8,27,6,27,19,15,11,49
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 27th St,17,2014-09,17:00-18:00,290,509,97,110,410,39,48,442,105,96,310,103,9,30,24,52,10,51,21,26
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and W Grand Ave,18,2014-09,08:00-09:00,89,436,57,55,348,55,42,260,79,228,560,92,15,44,29,43,2,11,9,30
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and W Grand Ave,18,2014-09,17:00-18:00,161,400,83,79,514,47,80,422,288,110,536,94,34,64,28,59,12,56,13,16
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 20th St,19,2014-09,08:00-09:00,75,526,118,88,103,8,5,246,8,10,104,47,19,15,27,68,1,2,4,43
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 20th St,19,2014-09,17:00-18:00,80,420,57,216,160,14,8,503,18,21,107,71,46,9,43,52,7,23,5,23
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 49th St East,20,2014-09,08:00-09:00,0,707,50,46,0,40,18,511,0,0,0,0,26,14,0,0,,,,
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 49th St East,20,2014-09,17:00-18:00,0,666,70,59,0,28,54,611,0,0,0,0,48,72,0,0,,,,
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 49th St West,21,2014-09,08:00-09:00,25,722,0,0,0,0,0,523,4,40,0,6,26,0,0,38,,,,
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 49th St West,21,2014-09,17:00-18:00,30,664,0,0,0,0,0,651,28,51,0,14,48,0,0,48,,,,
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 47th St,22,2014-09,08:00-09:00,7,757,0,0,0,0,0,485,24,25,0,6,,,,,,,,
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 47th St,22,2014-09,17:00-18:00,11,703,0,0,0,0,0,664,14,13,0,10,,,,,,,,
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 46th St,23,2014-09,08:00-09:00,19,763,0,0,0,0,0,509,127,0,0,0,80,0,2,17,0,30,0,15
http://www2.oaklandnet.com/n/OAK049024,Telegraph Ave and 46th St,23,2014-09,17:00-18:00,19,697,0,0,0,0,0,678,193,0,0,0,39,0,21,16,0,53,0,19
