"PREPARED BY NATIONAL DATA & SURVEYING SERVICES",,,,,,,,,,,,AM,"Start time:",NONE,NONE,,,
PROJECT#:,10-7088-005,,,,,,,,,,,,"End time:",NONE,NONE,,,
"N/S Street:","College Ave",,,,,,,,,,,NOON,"Start time:",NONE,NONE,2009/01/01,,
"E/W Street:","Alcatraz Ave",,,,,,,,,,,,"End time:",NONE,NONE,2012/01/02,,
DATE:,2010/03/13,,,,,DAY:,2010/03/13,,,,,PM,"Start time:",16:00:00,667,,,
CITY:,Oakland,,,,,,,,,,,,"End time:",19:00:00,792,,,
"A M",,,,,,,,,,,,,,,,,,
PEDESTRIANS,,,,,,BIKES,,,,,,,,,,,,
"T I M E","NORTH LEG","SOUTH LEG","EAST LEG","WEST LEG",,"T I M E","NORTH LEG","SOUTH LEG","EAST LEG","WEST LEG",,,,,,,,
17:30:00,12,8,22,60,,17:30:00,2,0,4,6,,,729,,,,,
17:45:00,19,13,31,61,,17:45:00,2,0,4,3,,,740,,,,,
18:00:00,9,16,20,46,,18:00:00,2,2,1,2,,,750,,,,,
18:15:00,10,28,33,41,,18:15:00,0,1,3,3,,,760,,,,,
18:30:00,18,16,33,55,,18:30:00,2,0,2,5,,,771,,,,,
18:45:00,11,5,45,32,,18:45:00,0,0,1,0,,,781,,,,,
19:00:00,,,,,,19:00:00,,,,,,,792,,,,,
19:15:00,,,,,,19:15:00,,,,,,,802,,,,,
19:30:00,,,,,,19:30:00,,,,,,,812,,,,,
19:45:00,,,,,,19:45:00,,,,,,,823,,,,,
20:00:00,,,,,,20:00:00,,,,,,,833,,,,,
20:15:00,,,,,,20:15:00,,,,,,,844,,,,,
20:30:00,,,,,,20:30:00,,,,,,,854,,,,,
20:45:00,,,,,,20:45:00,,,,,,,865,,,,,
21:00:00,,,,,,21:00:00,,,,,,,875,,,,,
21:15:00,,,,,,21:15:00,,,,,,,885,,,,,
21:30:00,,,,,,21:30:00,,,,,,,896,,,,,
21:45:00,,,,,,21:45:00,,,,,,,906,,,,,
22:00:00,,,,,,22:00:00,,,,,,,917,,,,,
22:15:00,,,,,,22:15:00,,,,,,,927,,,,,
22:30:00,,,,,,22:30:00,,,,,,,937,,,,,
22:45:00,,,,,,22:45:00,,,,,,,948,,,,,
23:00:00,,,,,,23:00:00,,,,,,,958,,,,,
23:15:00,,,,,,23:15:00,,,,,,,969,,,,,
23:30:00,,,,,,23:30:00,,,,,,,979,,,,,
23:45:00,,,,,,23:45:00,,,,,,,990,,,,,
TOTALS,195,161,395,602,,TOTALS,21,5,29,39,,,,,,,,
